game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Gintama Gin-Oh Quest: Gin-san ga Tenshoku shitari Sekai wo Sukuttari,15,3.69,8,Tough,33.33,30,2,4,57,DS
Glory of Heracles,650,3.62,267,Just Right,67.63,33.5,75,132,40,DS
Golden Sun: Dark Dawn,3781,3.96,2083,Easy-Just Right,55.31,37.1,804,1358,58,DS
Izuna: Legend of the Unemployed Ninja,628,3.49,275,Tough,54.41,25,56,108,30,DS
Izuna 2: The Unemployed Ninja Returns,542,3.75,199,Tough,56.84,34.4,35,74,29,DS
Harukanaru Toki no Naka de: Maihitoyo,18,3.73,11,Unforgiving,80,34.4,5,5,45,DS
Harukanaru Toki no Naka de: Yumenoukihashi,15,3.43,7,Unforgiving,60,16,2,2,29,DS
Hottarake no Shima: Kanata no Nijiiro no Kagami,10,3.42,6,Tough,75,30,2,2,50,DS
Infinite Space,844,4.08,430,Tough,55.88,66.3,125,187,38,DS
Inuyasha: Secret of the Divine Jewel,220,3.02,95,Just Right,48.57,34.4,14,37,31,DS
Iron Feather,20,3.63,8,Tough-Unforgiving,60,20,1,1,11,DS
Justice League Heroes,41,2.37,15,Just Right,66.67,8,6,8,44,DS
Juushin Enbu DS,8,3.5,6,Just Right,100,20,5,5,100,DS
Kaite Shabette Hajimeyou! Monster Farm DS,10,3.56,9,Unforgiving,66.67,40,1,2,29,DS
Spectrobes,728,3.45,322,Just Right,60.82,29.2,97,220,54,DS
Katekyoo Hitman Reborn! DS Fate of Heat,28,3.66,16,Tough,33.33,19.2,5,11,58,DS
Katekyoo Hitman Reborn! DS Fate of Heat II - Unmei no Futari,33,3.84,22,Tough,42.86,40,2,10,43,DS
Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,23,3.82,14,Just Right-Tough,71.43,24.8,5,5,36,DS
Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,44,3.93,28,Just Right,60,41.4,7,12,44,DS
Kimi no Yuusha,21,3.9,10,Just Right-Tough,42.86,40,2,3,30,DS
Kingdom Hearts 358/2 Days,5802,4.01,3641,Just Right,65.45,38.7,1321,2542,62,DS
Kingdom Hearts Re:coded,2744,3.74,1516,Just Right,65.98,32.3,689,1064,63,DS
Kurikin: Nano Island Story,11,3.63,8,Tough,57.14,71.7,6,6,86,DS
